Project Name,Issue Key,Issue Type,Summary,Description,Status,Priority,Assignee,Reporter,Labels,Comments,Attachments,Created Date,Updated Date,Due Date,Linked Issues,Sprint,Story Points,Components,Fix Version(s),Resolution,Delay (Days)
,PO-3,Bug,Sentiment analysis misclassifies positive tone,The sentiment analysis model is frequently misclassifying clearly positive social media posts as neutral or negative.,In Progress,High,Rachel White,Pamela Usher,"Bug, AI, Sentiment","""Retraining the sentiment model with a more diverse dataset. Reviewing annotation guidelines.""",sentiment_errors.txt,2025-04-25,2025-05-22,2025-06-05,PO-1,Sprint 3: Model Improvement,-,AI/ML,0.9.1,Unresolved,0
,PO-4,Task,Implement user authentication and roles,"Set up secure user authentication for the analytics platform and define roles for different access levels (e.g., admin, analyst).",Done,Medium,Sam Young,Quentin Vance,"Security, Authentication","""Authentication with OAuth 2.0 implemented. Role-based access control configured.""",-,2025-04-10,2025-05-10,2025-05-05,-,Sprint 1: Data Connectors,-,"Security, Backend",0.9,Fixed,5
,PO-5,Story,"As an admin, I want to manage data sources","Provide an interface for administrators to add, modify, or remove social media data sources and their configurations.",To Do,High,Terry Zeller,Oscar Taylor,"Admin, Data Sources","""Designing the data source management UI. Needs validation for API keys.""",-,2025-05-01,2025-05-01,2025-12-15,-,Sprint 4: Admin Tools,8,"Frontend, Backend",1.1,Unresolved,0
Project Pi: Augmented Reality (AR) App for Interior Design,PP-1,Epic,Develop core AR object placement mechanics,Build the fundamental AR mechanics for placing virtual furniture and decor items in a real-world environment via a mobile device camera.,In Progress,High,Uma Adams,Vincent Baker,"AR, Core Mechanics","""Researching ARKit/ARCore capabilities. Focus on stable tracking and accurate scaling.""",ar_design.pdf,2025-03-25,2025-05-21,2025-12-01,"PP-2, PP-3",Sprint 1: AR Core,-,"AR, Mobile",1,Unresolved,0
,PP-2,Story,"As a user, I want to choose furniture from a catalog",Display a catalog of 3D furniture models that users can select and place in their AR view.,To Do,Medium,Wendy Cross,Uma Adams,"AR, Catalog, UX","""Designing the UI for the furniture catalog. Need high-quality 3D models.""",-,2025-04-10,2025-05-10,2025-11-15,PP-1,Sprint 2: Content Integration,8,"3D Models, Frontend",1,Unresolved,0
,PP-3,Bug,AR objects drift from placed position,"Placed AR furniture objects occasionally drift or ""float"" away from their initial position, breaking immersion.",In Progress,High,Xavier Davis,Vincent Baker,"Bug, AR, Tracking","""Investigating environmental tracking issues. Could be affected by lighting or surface textures.""",ar_drift.txt,2025-04-30,2025-05-22,2025-06-07,PP-1,Sprint 3: AR Stability,-,"AR, Mobile",0.9.1,Unresolved,0
,PP-4,Task,Integrate with 3D model asset library,Set up a connection to an external 3D model asset library to easily import furniture models into the application.,Done,Medium,Yolanda Evans,Wendy Cross,"3D Models, Integration","""Unity Asset Store integration complete. Successfully imported sample models.""",-,2025-04-15,2025-05-05,2025-05-01,-,Sprint 2: Content Integration,-,"Integrations, 3D Assets",0.9,Fixed,4
,PP-5,Story,"As a user, I want to save my AR room designs",Allow users to save their AR-placed furniture arrangements and reload them later for further editing or sharing.,To Do,Medium,Zach Fox,Uma Adams,"AR, Save, Persistence","""Designing data structure for saving AR scenes. Considering cloud storage options.""",-,2025-05-05,2025-05-05,2025-12-30,-,Sprint 4: Persistence,8,"Backend, AR",1.1,Unresolved,0
Project Rho: Voice Assistant for Smart Home,PR-1,Epic,Develop core voice recognition & command parsing,Build the fundamental voice recognition and natural language processing (NLP) capabilities to understand and execute smart home commands.,In Progress,High,Alice Green,Bob Harris,"Voice AI, NLP","""Researching speech-to-text APIs. Defining initial command grammar.""",voice_spec.pdf,2025-04-01,2025-05-21,2026-01-01,"PR-2, PR-3",Sprint 1: Voice Core,-,"AI/ML, Backend",1,Unresolved,0
,PR-2,Story,"As a user, I want to turn lights on/off by voice","Enable users to control smart lights (on/off, dimming) using voice commands.",To Do,High,Charlie Ines,Alice Green,"Smart Home, Lights","""Integrating with Philips Hue API. Need to map voice commands to API calls.""",-,2025-04-15,2025-05-10,2025-12-15,PR-1,Sprint 2: Device Control,13,"Integrations, Backend",1,Unresolved,0
,PR-3,Bug,Voice assistant misinterprets commands,"The voice assistant frequently misinterprets spoken commands, leading to incorrect actions (e.g., ""turn on living room"" interpreted as ""turn off kitchen"").",In Progress,High,David Jones,Bob Harris,"Bug, Voice AI, NLP","""Analyzing voice command logs for common misinterpretations. Adjusting NLP model parameters.""",voice_logs.txt,2025-05-01,2025-05-22,2025-06-10,PR-1,Sprint 3: Accuracy Improvement,-,AI/ML,0.9.1,Unresolved,0
,PR-4,Task,Integrate with smart thermostat API,"Establish a connection to popular smart thermostat APIs (e.g., Nest, ecobee) to allow voice control of climate.",Done,Medium,Emily King,Charlie Ines,"Integration, Thermostat","""Nest API integration complete. Test commands successful.""",-,2025-04-20,2025-05-15,2025-05-10,-,Sprint 2: Device Control,-,"Integrations, Backend",0.9,Fixed,5
,PR-5,Story,"As a user, I want to play music by voice","Enable users to play specific songs, artists, or genres from streaming services (e.g., Spotify) using voice commands.",To Do,High,Fiona Lewis,Alice Green,"Music, Streaming, Voice","""Researching Spotify API for music playback control. Needs robust error handling for unavailable content.""",-,2025-05-10,2025-05-10,2026-01-30,-,Sprint 4: Entertainment,8,"Integrations, Backend",1.1,Unresolved,0
Project Sigma: DevOps Automation Platform,PS-1,Epic,Develop automated deployment pipelines,"Build a platform to automate the entire software deployment process from code commit to production environment, supporting multiple environments.",In Progress,High,Greg Martin,Helen Nash,"DevOps, Automation","""Defining pipeline stages and triggers. Need to integrate with Git repositories.""",pipeline_flow.pdf,2025-04-05,2025-05-20,2026-02-01,"PS-2, PS-3",Sprint 1: Pipeline Core,-,"CI/CD, Infrastructure",1,Unresolved,0
,PS-2,Story,"As a developer, I want to trigger manual deployments",Provide a web interface for developers to manually trigger deployments to staging or production environments after approvals.,To Do,Medium,Irene Owens,Greg Martin,"Deploy, Web UI","""Designing the deployment dashboard. Needs clear status indicators and rollback options.""",-,2025-04-20,2025-05-10,2026-01-15,PS-1,Sprint 2: User Interface,8,"Frontend, CI/CD",1,Unresolved,0
,PS-3,Bug,Production deployment fails randomly,"Automated production deployments are failing intermittently with a ""permission denied"" error, requiring manual intervention.",In Progress,High,Jack Perry,Helen Nash,"Bug, Deployment, Permissions","""Investigating IAM roles and permissions on target servers. Possible credential expiration.""",deployment_error.txt,2025-05-05,2025-05-22,2025-06-15,PS-1,Sprint 3: Reliability,-,"Infrastructure, Security",0.9.1,Unresolved,0
,PS-4,Task,Integrate with Kubernetes clusters,Enable the platform to deploy and manage applications running on Kubernetes clusters.,Done,High,Kelly Quinn,Irene Owens,"Kubernetes, Integration","""Kubernetes API integration complete. Tested with sample deployments.""",-,2025-04-25,2025-05-15,2025-05-10,-,Sprint 2: Integrations,-,"Integrations, Infrastructure",0.9,Fixed,5
,PS-5,Story,"As an admin, I want to manage deployment approvals","Configure approval workflows for deployments to sensitive environments (e.g., production), requiring specific user or group approvals.",To Do,High,Leo Roberts,Greg Martin,"Approvals, Admin","""Designing the approval matrix. Needs integration with user directory.""",-,2025-05-15,2025-05-15,2026-02-28,-,Sprint 4: Governance,13,"Backend, Security",1.1,Unresolved,0
Project Tau: AI Chatbot for Customer Service,PTa-1,Epic,Develop core NLU and dialogue management,Build the fundamental Natural Language Understanding (NLU) and dialogue management components for a customer service chatbot.,In Progress,High,Mary Scott,Nathan Turner,"AI, Chatbot, NLP","""Defining initial intents and entities. Exploring Rasa NLU vs. Google Dialogflow.""",chatbot_spec.pdf,2025-04-10,2025-05-20,2026-03-01,"PTa-2, PTa-3",Sprint 1: Core AI,-,"AI/ML, Backend",1,Unresolved,0
,PTa-2,Story,"As a user, I want to check order status",Enable users to inquire about their order status by providing an order ID to the chatbot.,To Do,Medium,Olivia Usher,Mary Scott,"Order Status, Chatbot","""Designing conversational flow for order status. Needs integration with order fulfillment system.""",-,2025-04-25,2025-05-10,2026-02-15,PTa-1,Sprint 2: Initial Intents,8,"Integrations, Frontend",1,Unresolved,0
,PTa-3,Bug,Chatbot misunderstands complex queries,"The chatbot struggles to correctly interpret and respond to multi-part or nuanced customer queries, often providing irrelevant answers.",In Progress,High,Paul Vance,Nathan Turner,"Bug, Chatbot, NLP","""Collecting problematic utterances for model retraining. Focusing on context retention.""",chatbot_logs.txt,2025-05-10,2025-05-22,2025-06-20,PTa-1,Sprint 3: Accuracy Improvement,-,AI/ML,0.9.1,Unresolved,0
,PTa-4,Task,Integrate with customer support knowledge base,Connect the chatbot to the existing customer support knowledge base to retrieve answers for common FAQs.,Done,Medium,Quinn Wells,Olivia Usher,"Integration, Knowledge","""Knowledge base integration complete using search API. Tested answer retrieval.""",-,2025-05-01,2025-05-15,2025-05-10,-,Sprint 2: Initial Intents,-,"Integrations, AI/ML",0.9,Fixed,5
,PTa-5,Story,"As an admin, I want to review chatbot conversations",Provide an interface for administrators to review past chatbot conversations to identify areas for improvement and model training.,To Do,High,Rose Xenon,Mary Scott,"Admin, Review","""Designing the conversation log review dashboard. Needs filtering and search capabilities.""",-,2025-05-18,2025-05-18,2026-03-30,-,Sprint 4: Monitoring,13,"Frontend, Backend",1.1,Unresolved,0
Project Upsilon: API Gateway Development,PU-1,Epic,Develop core API routing and security,"Build a robust API Gateway to manage API traffic, enforce security policies, and route requests to backend microservices.",In Progress,High,Simon Young,Tiffany Zeller,"API Gateway, Security","""Defining API routing rules and authentication mechanisms. Exploring Kong vs. Apigee.""",api_gateway_spec.pdf,2025-04-15,2025-05-21,2026-04-01,"PU-2, PU-3",Sprint 1: Core Functionality,-,"Infrastructure, Security",1,Unresolved,0
,PU-2,Story,"As a developer, I want API rate limiting",Implement rate limiting policies on API endpoints to prevent abuse and ensure fair usage.,To Do,Medium,Ursula Abbot,Simon Young,"Rate Limiting, Security","""Designing rate limiting strategies (e.g., per IP, per API key). Needs configurable thresholds.""",-,2025-04-30,2025-05-10,2026-03-15,PU-1,Sprint 2: Security Features,8,"Security, Backend",1,Unresolved,0
,PU-3,Bug,API response times are inconsistent,Clients are reporting inconsistent and occasionally high latency in API responses routed through the gateway.,In Progress,High,Victor Baker,Tiffany Zeller,"Bug, Performance, API","""Investigating network latency between gateway and microservices. Checking load balancer configurations.""",api_logs.txt,2025-05-15,2025-05-22,2025-06-25,PU-1,Sprint 3: Performance,-,"Backend, Network",0.9.1,Unresolved,0
,PU-4,Task,Implement API key management,"Develop a system for generating, revoking, and managing API keys for client applications accessing services through the gateway.",Done,Medium,Wendy Carter,Ursula Abbot,"API Keys, Security","""API key generation and validation implemented. Admin interface for key management ready.""",-,2025-05-05,2025-05-15,2025-05-10,-,Sprint 1: Core Functionality,-,"Security, Backend",0.9,Fixed,5
,PU-5,Story,"As an admin, I want to monitor API traffic","Provide a dashboard for administrators to monitor real-time API traffic, error rates, and latency.",To Do,High,Xavier Davis,Simon Young,"Monitoring, API","""Designing the API monitoring dashboard. Needs integration with metrics systems like Prometheus.""",-,2025-05-20,2025-05-20,2026-04-30,-,Sprint 4: Observability,13,"Frontend, DevOps",1.1,Unresolved,0
Project Phi: Web Accessibility Enhancements,PP-1,Epic,Conduct full accessibility audit,Perform a comprehensive audit of the main web application to identify all WCAG 2.1 compliance issues and define remediation strategies.,In Progress,High,Zara Evans,Aaron Ford,"Accessibility, WCAG","""Scoping out third-party accessibility auditing tools and consultants.""",audit_plan.pdf,2025-04-20,2025-05-20,2026-05-01,"PP-2, PP-3",Sprint 1: Discovery,-,"Frontend, UX",1,Unresolved,0
,PP-2,Story,"As a screen reader user, I want clear navigation","Ensure all navigation elements (menus, links) are properly labeled and navigable using screen readers.",To Do,Medium,Brian Green,Zara Evans,"Accessibility, Screen Reader","""Reviewing existing navigation structure and implementing ARIA attributes.""",-,2025-05-05,2025-05-10,2026-04-15,PP-1,Sprint 2: Navigation Fixes,5,"Frontend, UI/UX",1,Unresolved,0
,PP-3,Bug,Keyboard navigation skips elements,"Users relying on keyboard navigation are finding certain interactive elements (buttons, form fields) are unreachable or skipped in the tab order.",In Progress,High,Carla Hall,Aaron Ford,"Bug, Accessibility, Keyboard","""Investigating tabindex and focus management issues. Implementing explicit focus order.""",keyboard_test.txt,2025-05-18,2025-05-22,2025-06-30,PP-1,Sprint 3: Input Accessibility,-,"Frontend, UI/UX",0.9.1,Unresolved,0
,PP-4,Task,Update color contrast ratios,Adjust UI element colors to meet WCAG 2.1 contrast ratio guidelines for improved readability for users with visual impairments.,Done,High,David Ines,Brian Green,"Accessibility, UI","""All primary UI colors updated and verified with contrast checker tools.""",-,2025-05-01,2025-05-15,2025-05-10,-,Sprint 2: Visual Accessibility,-,"Frontend, Design",0.9,Fixed,5
,PP-5,Story,"As a user, I want meaningful image alt text",Ensure all non-decorative images on the website have descriptive alternative text for screen reader users.,To Do,Low,Emily Jones,Zara Evans,"Accessibility, Images","""Performing content audit for missing alt text. Developing a process for future image uploads.""",-,2025-05-20,2025-05-20,2026-05-30,-,Sprint 4: Content Review,3,"Content, Frontend",1.1,Unresolved,0
Project Chi: Blockchain-based Supply Chain Tracking,PCh-1,Epic,Develop decentralized ledger for tracking,"Build a blockchain-based decentralized ledger to record and verify supply chain transactions (e.g., origin, movement, ownership).",In Progress,High,Frank Kim,Gina Lewis,"Blockchain, Supply Chain","""Researching suitable blockchain platforms (e.g., Hyperledger Fabric, Ethereum). Defining consensus mechanism.""",blockchain_spec.pdf,2025-05-01,2025-05-20,2026-06-01,"PCh-2, PCh-3",Sprint 1: Core Ledger,-,"Blockchain, Backend",1,Unresolved,0
,PCh-2,Story,"As a supplier, I want to register goods on blockchain","Enable suppliers to register new goods with unique identifiers onto the blockchain, recording origin and initial ownership.",To Do,High,Henry Martin,Frank Kim,"Supply Chain, Registration","""Designing the UI for supplier registration. Needs secure digital signature integration.""",-,2025-05-15,2025-05-10,2026-05-15,PCh-1,Sprint 2: Supplier Interface,13,"Frontend, Blockchain",1,Unresolved,0
,PCh-3,Bug,Transaction finality delays on testnet,"Transactions submitted to the testnet are taking excessively long to achieve finality, impacting data consistency.",In Progress,High,Irene Nash,Gina Lewis,"Bug, Blockchain, Performance","""Investigating network congestion and node synchronization issues on the testnet. Adjusting gas limits.""",transaction_logs.txt,2025-05-20,2025-05-22,2025-07-05,PCh-1,Sprint 3: Performance,-,"Blockchain, Network",0.9.1,Unresolved,0
,PCh-4,Task,Set up blockchain test network,Deploy and configure a private blockchain test network for development and testing of supply chain features.,Done,High,Jack Owens,Henry Martin,"Blockchain, Infrastructure","""Private Ethereum testnet deployed with 3 nodes. Smart contracts deployed.""",-,2025-05-10,2025-05-18,2025-05-05,-,Sprint 1: Core Ledger,-,"Infrastructure, Blockchain",0.9,Fixed,13
,PCh-5,Story,"As a consumer, I want to verify product authenticity",Allow consumers to scan a product code and verify its origin and journey on the blockchain for authenticity.,To Do,Medium,Kara Perry,Frank Kim,"Consumer, Authenticity","""Designing the consumer-facing mobile app. Needs secure QR code scanning.""",-,2025-05-22,2025-05-22,2026-06-30,-,Sprint 4: Consumer App,8,"Mobile, Blockchain",1.1,Unresolved,0
Project Psi: Machine Learning Model Deployment,MPs-1,Epic,Develop MLOps pipeline for model deployment,"Build an automated MLOps pipeline for deploying machine learning models from training to production, including versioning and monitoring.",In Progress,High,Leo Quinn,Mia Roberts,"MLOps, AI/ML","""Defining stages for model training, validation, and deployment. Exploring Kubeflow/MLflow.""",mlops_plan.pdf,2025-05-05,2025-05-20,2026-07-01,"MPs-2, MPs-3",Sprint 1: Pipeline Design,-,"AI/ML, DevOps",1,Unresolved,0
,MPs-2,Story,"As a data scientist, I want to version models",Implement a model versioning system to track changes to machine learning models and ensure reproducibility.,To Do,Medium,Nora Scott,Leo Quinn,"Model Versioning, AI/ML","""Researching model registries like MLflow Model Registry. Needs integration with Git.""",-,2025-05-20,2025-05-15,2026-06-15,MPs-1,Sprint 2: Model Management,8,"AI/ML, Data Pipeline",1,Unresolved,0
,MPs-3,Bug,Production model performance degrades over time,"The accuracy of the deployed machine learning model is gradually decreasing in production, leading to inaccurate predictions.",In Progress,High,Oscar Turner,Mia Roberts,"Bug, AI/ML, Performance","""Investigating data drift and concept drift in production data. Setting up data quality monitoring.""",model_logs.txt,2025-05-22,2025-05-22,2025-07-10,MPs-1,Sprint 3: Monitoring & Retraining,-,"AI/ML, Data Pipeline",0.9.1,Unresolved,0
,MPs-4,Task,Set up production inference API endpoint,Deploy the trained machine learning model as a scalable and performant API endpoint for real-time predictions.,Done,High,Paula Usher,Nora Scott,"API, Deployment, AI/ML","""Flask API for model inference deployed on Kubernetes. Load testing passed.""",-,2025-05-10,2025-05-18,2025-05-05,-,Sprint 1: Pipeline Design,-,"Backend, AI/ML",0.9,Fixed,13
,MPs-5,Story,"As an admin, I want to monitor model health","Provide a dashboard to monitor the health and performance of deployed machine learning models, including latency, error rates, and prediction distribution.",To Do,High,Quentin Vance,Leo Quinn,"Monitoring, AI/ML","""Designing model monitoring dashboard. Needs integration with Prometheus and Grafana.""",-,2025-05-22,2025-05-22,2026-07-30,-,Sprint 4: Observability,13,"Frontend, AI/ML",1.1,Unresolved,0
Project Omega: Real-time Collaboration Tool,POm-1,Epic,Develop real-time document editing feature,"Build a real-time collaborative document editing feature, allowing multiple users to edit the same document simultaneously with instant synchronization.",In Progress,High,Robert White,Sarah Young,"Collaboration, Real-time","""Researching CRDTs vs. operational transformations for conflict resolution. Starting WebSocket implementation.""",real_time_spec.pdf,2025-05-10,2025-05-20,2026-08-01,"POm-2, POm-3",Sprint 1: Core Sync,-,"Frontend, Backend",1,Unresolved,0
,POm-2,Story,"As a user, I want to see other users' cursors",Display other collaborators' cursors and selections in real-time within the document to enhance awareness.,To Do,Medium,Tina Zeller,Robert White,"Real-time, UI/UX","""Designing cursor presence indicators. Needs low-latency updates.""",-,2025-05-25,2025-05-15,2026-07-15,POm-1,Sprint 2: UI Enhancements,8,Frontend,1,Unresolved,0
,POm-3,Bug,Document synchronization issues in high load,"Under heavy load (many concurrent users), document synchronization becomes erratic, leading to data loss or overwrites.",In Progress,High,Uma Adams,Sarah Young,"Bug, Real-time, Performance","""Investigating WebSocket server scalability and database write bottlenecks. Implementing optimistic locking.""",sync_logs.txt,2025-05-22,2025-05-22,2025-07-20,POm-1,Sprint 3: Performance,-,"Backend, Database",0.9.1,Unresolved,0
,POm-4,Task,Implement user presence indicators,Add functionality to show which users are currently viewing or editing a document.,Done,Medium,Victor Baker,Tina Zeller,"Presence, UI/UX","""User presence indicators implemented using WebSockets. Tested with multiple users.""",-,2025-05-15,2025-05-18,2025-05-10,-,Sprint 1: Core Sync,-,"Frontend, Backend",0.9,Fixed,8
,POm-5,Story,"As a user, I want to see document version history","Provide a feature to view and revert to previous versions of a document, tracking all changes made.",To Do,High,Wendy Cross,Robert White,"Versioning, History","""Designing the version history UI. Needs efficient storage of document diffs.""",-,2025-05-22,2025-05-22,2026-08-30,-,Sprint 4: Data Management,13,"Backend, Database",1.1,Unresolved,0
Project 1: Online Code Editor,OE-1,Epic,Develop real-time collaborative coding,"Build a web-based code editor with real-time collaboration features, syntax highlighting, and basic compilation.",In Progress,High,Alex Brown,Bella Clark,"Code Editor, Collaboration","""Researching Monaco Editor features. Setting up WebSocket server for collaboration.""",editor_spec.pdf,2025-01-05,2025-05-20,2025-09-01,"OE-2, OE-3",Sprint 1: Core Editor,-,"Frontend, Backend",1,Unresolved,0
,OE-2,Story,"As a developer, I want syntax highlighting","Implement syntax highlighting for popular programming languages (Python, JavaScript, Java) in the editor.",To Do,Medium,Chris Green,Alex Brown,"Syntax, Code Editor","""Integrating with CodeMirror or Ace Editor for highlighting. Need to support custom themes.""",-,2025-01-20,2025-05-15,2025-08-01,OE-1,Sprint 2: Editor Features,5,Frontend,1,Unresolved,0
,OE-3,Bug,Code suggestions are slow to appear,"The intelligent code suggestion feature (autocomplete) is experiencing significant delays, making it unusable for fast typing.",In Progress,High,Dana Hall,Bella Clark,"Bug, Performance, Editor","""Optimizing Trie data structure for suggestions. Investigating WebSocket message size.""",editor_logs.txt,2025-03-01,2025-05-22,2025-05-27,OE-1,Sprint 3: Performance,-,"Frontend, Backend",0.9.1,Unresolved,0
,OE-4,Task,Implement basic code compilation,Set up a backend service to compile and run code snippets for selected languages and return output.,Done,High,Ethan Ines,Chris Green,"Compilation, Backend","""Dockerized compilers for Python and Node.js. API endpoint for execution created.""",-,2025-02-10,2025-04-30,2025-04-25,-,Sprint 1: Core Editor,-,Backend,0.9,Fixed,5
,OE-5,Story,"As a user, I want to save and share code snippets",Allow users to save their code snippets to their profile and generate shareable links.,To Do,Medium,Fiona Jones,Alex Brown,"Save, Share, Code","""Designing data model for code snippets. Considering public/private sharing options.""",-,2025-04-10,2025-05-01,2025-09-30,-,Sprint 4: User Features,8,"Frontend, Backend",1.1,Unresolved,0
Project 2: Restaurant Reservation System,RR-1,Epic,Develop online reservation module,"Build a web-based module for customers to browse restaurants, check availability, and make online table reservations.",In Progress,High,Gary Kim,Holly Lee,"Reservations, Online","""Designing reservation flow. Integrating with Google Maps for restaurant locations.""",reservation_flow.pdf,2025-01-10,2025-05-20,2025-10-01,"RR-2, RR-3",Sprint 1: Customer Booking,-,"Frontend, Backend",1,Unresolved,0
,RR-2,Story,"As a customer, I want to see table availability",Display real-time table availability for selected dates and times at a chosen restaurant.,To Do,High,Ian Miller,Gary Kim,"Availability, UX","""Optimizing database queries for availability checks. Needs quick response times.""",-,2025-01-25,2025-05-15,2025-09-15,RR-1,Sprint 2: Real-time Data,8,"Backend, UI",1,Unresolved,0
,RR-3,Bug,Double bookings occur intermittently,"The system is occasionally allowing multiple reservations for the same table at the same time, leading to conflicts.",In Progress,High,Jessica Nash,Holly Lee,"Bug, Booking, Concurrency","""Investigating race conditions in the booking logic. Implementing transaction locks.""",booking_error.txt,2025-03-01,2025-05-22,2025-05-28,RR-1,Sprint 3: Booking Fixes,-,"Backend, Database",0.9.1,Unresolved,0
,RR-4,Task,Implement restaurant management dashboard,"Create an admin dashboard for restaurant owners to manage their tables, staff, and view bookings.",Done,Medium,Kevin Owens,Ian Miller,"Admin, Dashboard","""Admin dashboard implemented with basic CRUD for tables. User roles configured.""",-,2025-02-10,2025-04-30,2025-04-25,-,Sprint 1: Customer Booking,-,"Frontend, Backend",0.9,Fixed,5
,RR-5,Story,"As a restaurant owner, I want to confirm bookings",Allow restaurant owners to manually confirm or reject pending reservations.,To Do,Medium,Linda Perry,Gary Kim,"Confirm, Admin","""Designing the booking confirmation workflow. Needs email notifications.""",-,2025-04-10,2025-05-01,2025-10-30,-,Sprint 4: Admin Features,5,"Frontend, Notifications",1.1,Unresolved,0
Project 3: School Management System,SM-1,Epic,Develop student information module,"Build a module to manage student demographic data, enrollment, attendance, and academic records.",In Progress,High,Mike Quinn,Nancy Roberts,"Education, Student Mgmt","""Defining student data schema. Setting up database for student records.""",student_flow.pdf,2025-01-15,2025-05-20,2025-11-01,"SM-2, SM-3",Sprint 1: Student Core,-,"Backend, Database",1,Unresolved,0
,SM-2,Story,"As a teacher, I want to record attendance",Provide an interface for teachers to mark student attendance for each class.,To Do,Medium,Olivia Scott,Mike Quinn,"Attendance, Teacher","""Designing the attendance input form. Needs quick selection for multiple students.""",-,2025-02-01,2025-05-15,2025-10-30,SM-1,Sprint 2: Teacher Tools,8,Frontend,1,Unresolved,0
,SM-3,Bug,Grade calculation errors in report cards,The system is calculating incorrect final grades for certain students in the report card generation module.,In Progress,High,Paul Turner,Nancy Roberts,"Bug, Grades, Reporting","""Investigating grade calculation algorithm. Potential floating-point precision issues.""",grade_bug.txt,2025-03-05,2025-05-22,2025-05-30,SM-1,Sprint 3: Reporting Fixes,-,"Backend, Reporting",0.9.1,Unresolved,0
,SM-4,Task,Implement user authentication for students/teachers,Set up secure login for students and teachers with distinct roles and permissions.,Done,Medium,Quinn Usher,Olivia Scott,"Authentication, Roles","""Authentication system implemented with multi-factor authentication for teachers. Roles configured.""",-,2025-02-15,2025-04-30,2025-04-25,-,Sprint 1: Student Core,-,"Security, Backend",0.9,Fixed,5
,SM-5,Story,"As a parent, I want to view my child's progress","Create a parent portal to view their child's attendance, grades, and communication from teachers.",To Do,High,Rachel Vance,Mike Quinn,"Parent Portal, Access","""Designing the parent dashboard. Needs read-only access to relevant student data.""",-,2025-04-10,2025-05-01,2025-11-30,-,Sprint 4: Parent Features,13,"Frontend, Reporting",1.1,Unresolved,0
Project 4: Construction Project Management,CPM-1,Epic,Develop task scheduling & tracking,"Build a module for scheduling construction tasks, assigning resources, and tracking progress against timelines.",In Progress,High,Steve White,Tina Xenon,"Construction, Scheduling","""Defining task dependencies and resource allocation logic. Integrating with Gantt chart library.""",schedule_flow.pdf,2025-02-01,2025-05-20,2025-12-01,"CPM-2, CPM-3",Sprint 1: Scheduling Core,-,"Frontend, Backend",1,Unresolved,0
,CPM-2,Story,"As a project manager, I want to assign resources","Allow project managers to assign personnel, equipment, and materials to specific tasks within the project.",To Do,Medium,Ursula Young,Steve White,"Resource Mgmt, Planning","""Designing the resource allocation interface. Needs conflict detection for overloaded resources.""",-,2025-02-15,2025-05-15,2025-11-15,CPM-1,Sprint 2: Resource Allocation,8,"Backend, UI",1,Unresolved,0
,CPM-3,Bug,Progress updates not reflecting on Gantt chart,"Manual progress updates entered for tasks are not correctly reflecting on the visual Gantt chart, showing outdated information.",In Progress,High,Victor Zabel,Tina Xenon,"Bug, Gantt, Reporting","""Investigating data synchronization between task updates and Gantt chart rendering. Debugging rendering logic.""",gantt_bug.txt,2025-04-01,2025-05-22,2025-06-05,CPM-1,Sprint 3: Reporting Fixes,-,"Frontend, Reporting",0.9.1,Unresolved,0
,CPM-4,Task,Implement document management for blueprints,"Set up a system for uploading, versioning, and sharing construction blueprints and technical documents.",Done,High,Wanda Abbot,Ursula Young,"Document Mgmt, Blueprints","""Document upload and versioning implemented. Access controls configured for different roles.""",-,2025-03-01,2025-05-10,2025-05-05,-,Sprint 1: Scheduling Core,-,"Backend, Storage",0.9,Fixed,5
,CPM-5,Story,"As a site supervisor, I want daily progress reports","Generate automated daily progress reports summarizing completed tasks, issues, and resource utilization for a construction site.",To Do,High,Xavier Blue,Steve White,"Reports, Daily Reports","""Defining report content and format. Needs automated data aggregation from tasks.""",-,2025-04-10,2025-05-01,2025-12-30,-,Sprint 4: Reporting,13,"Backend, Reporting",1.1,Unresolved,0
Project 5: Fleet Management System,FM-1,Epic,Develop vehicle tracking & telemetry,"Build a system for real-time GPS tracking of vehicles, collecting telemetry data (speed, fuel, engine health), and displaying it on a map.",In Progress,High,Yara Cross,Zach Davis,"Fleet, GPS, Telemetry","""Researching GPS module integrations. Setting up data ingestion pipeline for telemetry.""",fleet_spec.pdf,2025-02-10,2025-05-20,2026-01-01,"FM-2, FM-3",Sprint 1: Core Tracking,-,"Backend, IoT",1,Unresolved,0
,FM-2,Story,"As a dispatcher, I want to optimize routes","Provide tools for dispatchers to plan and optimize delivery routes for multiple vehicles, considering traffic and delivery points.",To Do,High,Abigail Evans,Yara Cross,"Route Optimization, Logistics","""Integrating with mapping APIs (e.g., Google Maps API). Exploring routing algorithms.""",-,2025-02-25,2025-05-15,2026-01-15,FM-1,Sprint 2: Logistics,13,"AI/ML, Frontend",1,Unresolved,0
,FM-3,Bug,GPS tracking shows inaccurate locations,"Vehicles are occasionally reporting incorrect or drifting GPS locations, especially in urban areas.",In Progress,High,Benjamin Ford,Zach Davis,"Bug, GPS, Accuracy","""Investigating GPS signal interference and device-side processing. Implementing Kalman filters for smoothing.""",gps_bug.txt,2025-04-01,2025-05-22,2025-06-10,FM-1,Sprint 3: Accuracy Fixes,-,"IoT, Data Processing",0.9.1,Unresolved,0
